"Transaction cancelled by user","Transaction cancelled by user"
"Error with bank transaction process","Error with bank transaction process"
"Error with transaction process","Error with transaction process"
"Error with 3DSecure process","Error with 3DSecure process"
"Error with payment validation rules","Error with payment validation rules"
"Error when processing payment","Error when processing payment"
Configure,Configure
Close,Close
"Shipping method","Shipping method"
"Delivery time","Delivery time"
"Delivery mode","Delivery mode"
"Delivery expected delay","Delivery expected delay"
"Add Configuration","Add Configuration"
"Matched Expression","Matched Expression"
Value,Value
"Add Exception","Add Exception"
Prefix,Prefix
Title,Title
"Select type not found","Select type not found"
"Class not init with create","Class not init with create"
"My Wallet","My Wallet"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"Order #%1 not exist","Order #%1 not exist"
"Computer (hardware and software)","Computer (hardware and software)"
"Electronics - TV - Hifi","Electronics - TV - Hifi"
Phone,Phone
"Home appliance","Home appliance"
"Habitat and garden","Habitat and garden"
"Fashion Clothing","Fashion Clothing"
"Beauty product","Beauty product"
Jewelry,Jewelry
Sport,Sport
Hobbies,Hobbies
"Automobiles / motorcycles","Automobiles / motorcycles"
furnishing,furnishing
children,children
"Video games","Video games"
Toys,Toys
Animals,Animals
Food,Food
Gifts,Gifts
Shows,Shows
traveling,traveling
Auction,Auction
"Particular services","Particular services"
"Professional Services","Professional Services"
Music,Music
Book,Book
Photo,Photo
name,name
"Please select a category mapping...","Please select a category mapping..."
"Invalid contract","Invalid contract"
"Payline card type logo url does not exists.","Payline card type logo url does not exists."
"Invalid Payment Method","Invalid Payment Method"
"Payment is not finalized.","Payment is not finalized."
"Cannot retrieve valid customer cart.","Cannot retrieve valid customer cart."
"A tansaction already exist for this order. Payline API call to getWebPaymentDetails with return ""%1 : %2"" was ignored","A tansaction already exist for this order. Payline API call to getWebPaymentDetails with return ""%1 : %2"" was ignored"
"Duplicate detected. Payline API call to getWebPaymentDetails with return ""%1 : %2"" was ignored","Duplicate detected. Payline API call to getWebPaymentDetails with return ""%1 : %2"" was ignored"
"Transaction already exists for this order. Payline transaction successfully void or refund.","Transaction already exists for this order. Payline transaction successfully void or refund."
"Transaction %1 canceled for order %2 from Magento Back-Office","Transaction %1 canceled for order %2 from Magento Back-Office"
"Transaction %1 refunded for order %2 from Magento Back-Office","Transaction %1 refunded for order %2 from Magento Back-Office"
"Reset transaction %1 for order %2","Reset transaction %1 for order %2"
"Refund transaction %1 for order %2","Refund transaction %1 for order %2"
"No transaction found for this order.","No transaction found for this order."
"Payment gateway amount %1 does not match order amount %2.","Payment gateway amount %1 does not match order amount %2."
"Error code %1 => %2","Error code %1 => %2"
"All payment cycle received","All payment cycle received"
